,user_id,embedding
0,0,"[0.4810478091239929, -1.2078871726989746, -0.9237825870513916, -0.4807332456111908, 0.7317471504211426, -0.9231835603713989, -0.6653717756271362, 0.7012709975242615, -0.12997402250766754, 0.7590320110321045, -0.3751671314239502, -1.149183988571167, -0.5782670974731445, -0.2425050288438797, 0.09601403772830963, 0.5298075675964355, 0.2496737688779831, 0.0654991939663887, 0.9146443605422974, 0.5097017884254456, 1.0572558641433716, -0.48973149061203003, 0.5354360938072205, 1.1362202167510986, 0.8873556852340698, -0.9980086088180542, 0.5298956632614136, -0.5159350633621216, -0.012466073036193848, -0.7513179183006287, 0.7066634297370911, 0.6667957901954651, 1.095996618270874, -0.1781969964504242, -0.5130141973495483, -0.380887508392334, 0.6786320805549622, 0.6274904608726501, -0.822249174118042, -0.1421361267566681, -0.9249693155288696, 0.33052632212638855, 1.3775476217269897, -0.8747119307518005, 1.8319185972213745, 0.978262722492218, 1.037273645401001, 0.09093612432479858, -0.745740532875061, 0.9774129390716553, 0.5814458131790161, -0.22474372386932373, 0.313337117433548, -0.792441725730896, -0.1972666084766388, 1.2109551429748535, -0.7811187505722046, -0.154301255941391, 0.46914780139923096, 0.792822003364563, -0.4283080995082855, 0.09970150887966156, 0.6152480244636536, -1.5691051483154297]"
1,1,"[-0.6801983118057251, -0.8122018575668335, -0.8931406736373901, -0.6842198967933655, 0.4409720301628113, 0.28642064332962036, -1.046524167060852, 1.1437766551971436, -0.35598844289779663, 0.584839940071106, 0.28671547770500183, -0.5089999437332153, -0.8275669813156128, -0.6123596429824829, -0.7810722589492798, -0.2153710424900055, 0.04793962091207504, -0.25330430269241333, 0.0022608712315559387, -0.9082156419754028, 1.0344429016113281, -0.16349264979362488, -0.29357144236564636, 1.0439667701721191, 0.46943846344947815, 0.7231552004814148, -0.5797094106674194, -0.6023468375205994, 0.7248214483261108, 0.8001923561096191, 1.1499419212341309, 1.3557868003845215, 0.2089838832616806, -0.04264716058969498, 1.2091695070266724, -0.14323484897613525, -0.044577356427907944, -0.2601187825202942, -1.1497608423233032, -0.976626992225647, 0.18206307291984558, 0.7859991192817688, 0.7060835957527161, -1.3475685119628906, 0.5651848316192627, -0.700252115726471, 0.8158051371574402, -0.5741658806800842, -0.9736533164978027, 0.017984092235565186, 1.3274736404418945, 0.5118684768676758, 0.2994866967201233, 0.10759386420249939, 0.37758445739746094, 0.6645359396934509, -0.038574494421482086, 0.30055147409439087, -0.19512560963630676, -0.3360961079597473, 0.5441316366195679, 1.1358979940414429, 0.8257788419723511, -0.7347269058227539]"
2,2,"[-0.6456074714660645, -0.8225356340408325, 0.21690016984939575, -0.6827055811882019, 0.4120278060436249, 0.4329807460308075, 0.39261648058891296, -0.1898917704820633, 0.09676513075828552, 0.89932781457901, 0.36997589468955994, 0.09464964270591736, -0.13424834609031677, -0.7253101468086243, 0.21630027890205383, -0.6840172410011292, -0.1408379226922989, -0.6479978561401367, 0.04600267857313156, -0.9512854218482971, -0.23147127032279968, 0.6564409136772156, -0.616085946559906, 0.3535012900829315, 0.16000792384147644, -0.5976166725158691, 0.007350102066993713, -0.45276573300361633, 0.07301169633865356, 0.131082221865654, 0.0033205077052116394, -0.14911825954914093, 0.5437713861465454, 0.013224337249994278, -0.23348373174667358, -0.19652336835861206, 0.16810378432273865, 0.3062824010848999, 0.44149649143218994, -0.6100950837135315, -0.556870698928833, 0.17815281450748444, 0.35835790634155273, -0.8430851101875305, 0.4032786786556244, -0.015890223905444145, 0.6909514665603638, 0.07518955320119858, 0.08551933616399765, 0.821950376033783, 0.0717819333076477, -0.47899264097213745, -0.1077178418636322, 0.1778067946434021, 0.38247352838516235, -0.11146920174360275, -0.07867909222841263, 1.1080031394958496, -0.33567798137664795, 0.0907449945807457, 0.6276999115943909, -0.1599532812833786, 0.30073848366737366, 0.5871657729148865]"
3,3,"[-0.25000035762786865, 0.014795616269111633, 0.5797845125198364, -0.9282095432281494, -0.5852481126785278, -0.39043253660202026, 0.14436446130275726, 0.5816153883934021, -0.7366990447044373, 0.5363041162490845, 0.5493033528327942, -0.6378400325775146, -0.8982039093971252, -0.12752149999141693, 0.23309853672981262, -0.6092671155929565, -0.5392511487007141, -0.3804287910461426, 0.5220677256584167, -0.7983338236808777, 1.0201656818389893, 0.07629933953285217, -0.11434322595596313, 0.5382500886917114, 0.18159648776054382, 0.06337261199951172, 0.28713077306747437, -0.5493152141571045, 0.9333281517028809, 0.3606042265892029, 0.2121165245771408, -0.34809574484825134, 0.5577951669692993, -0.6805073618888855, 0.14643177390098572, -0.5413761138916016, 0.0991487056016922, 0.5509912967681885, 0.9002853035926819, -0.46851634979248047, 0.03333750367164612, 1.0691403150558472, 0.44618135690689087, -0.8910361528396606, 0.2966132164001465, -0.5209249258041382, 0.5429192185401917, 0.31522536277770996, -0.23132997751235962, 1.0616748332977295, -0.2414531111717224, -1.2359296083450317, 0.5763815641403198, 1.1507130861282349, -0.3509915769100189, -1.0557218790054321, -0.7262734174728394, 0.18436619639396667, 0.5896616578102112, 0.7247697114944458, 0.8000807166099548, 0.16878436505794525, -0.16267292201519012, 0.15449199080467224]"
4,4,"[0.18636554479599, -0.42245155572891235, 1.0227751731872559, -0.02256222814321518, 1.0219810009002686, 0.7478501200675964, -0.14103910326957703, 0.10264057666063309, -1.1491570472717285, 0.519216775894165, -0.9328267574310303, -0.6044707894325256, 0.8072500228881836, -1.2906769514083862, 1.4531254768371582, 0.15997761487960815, -0.40124931931495667, -0.29940593242645264, 0.44366735219955444, -1.0642142295837402, 1.3593538999557495, -1.022812843322754, -1.0530951023101807, -0.41023799777030945, 1.1229300498962402, 1.1736962795257568, -0.46649613976478577, 0.2422260344028473, 0.31657296419143677, -1.0608609914779663, 1.2500711679458618, -0.4009438455104828, 0.8436975479125977, 0.21388249099254608, 0.8880168199539185, 0.27214428782463074, 0.6177226305007935, 0.1357308328151703, -0.3686143755912781, -0.29866936802864075, -0.6038298010826111, 0.5184296369552612, 0.9369560480117798, -0.5956751108169556, 0.4384198784828186, -0.694118082523346, 1.1044046878814697, -0.8202154040336609, -0.9778151512145996, 0.8818821907043457, 1.325857162475586, -0.8208588361740112, -0.40823280811309814, -0.9618622660636902, -0.2433168739080429, 1.0926991701126099, -1.2643249034881592, -1.0163695812225342, -0.020763255655765533, 0.3019692003726959, -0.03518937528133392, -1.0404350757598877, 0.5699757933616638, 0.44864028692245483]"
5,5,"[0.9069644212722778, -1.2652925252914429, 1.078478455543518, -1.0196115970611572, -0.21924123167991638, 0.8420233726501465, -1.1087231636047363, 1.501630425453186, -0.33822935819625854, 0.4501730799674988, 0.6521854400634766, -0.22042961418628693, -0.2902950644493103, -1.010617971420288, 0.7213661074638367, -0.8265764713287354, 0.055950939655303955, 0.8060901165008545, 0.18340755999088287, -1.029464840888977, 0.5646557211875916, 0.8801354765892029, 0.11853978037834167, 0.7838267087936401, -0.20585763454437256, 0.05709210783243179, -0.7579830884933472, 0.6422282457351685, 0.18514373898506165, -1.055281162261963, 0.8420482277870178, 0.37010103464126587, 1.2931082248687744, 0.4434911012649536, 0.6479098200798035, 0.597179114818573, -0.5506537556648254, -0.35378438234329224, 0.3487550914287567, -0.6100766062736511, 0.586158037185669, 0.6502585411071777, 0.3264526128768921, -0.33271312713623047, 0.10174103081226349, -0.9865086078643799, 0.44470852613449097, -0.25019508600234985, -0.32365530729293823, 0.9521909952163696, 1.1506972312927246, -0.8906028270721436, -0.17906686663627625, -0.5282036066055298, 0.4935429096221924, 1.3257142305374146, -0.31876128911972046, 0.9438266754150391, 0.4719959497451782, -1.0366407632827759, 0.8431094884872437, -0.314302921295166, -0.10172523558139801, 0.42540913820266724]"
6,6,"[-0.5746976137161255, -0.6125802993774414, 0.5713372826576233, -0.3973800837993622, -0.15119494497776031, 0.34577640891075134, 0.392515629529953, -0.6210405826568604, 0.6595897674560547, 0.8423929810523987, 0.3821808695793152, -0.25671136379241943, -0.20555812120437622, -0.38761788606643677, -0.05165814608335495, -0.5621120929718018, -0.15447288751602173, -0.6045743823051453, 0.42385685443878174, -0.466507226228714, -0.05119723826646805, 0.10106673836708069, -0.09981893748044968, -0.26860952377319336, -0.3845066428184509, -0.7439482808113098, 0.3236362934112549, -0.3133257329463959, 0.2854321599006653, -0.0047719161957502365, -0.18353356420993805, 0.19075757265090942, -0.051375046372413635, 0.44732123613357544, 0.3057299256324768, 0.04139883071184158, 0.6313420534133911, 0.03889184445142746, 0.23879361152648926, -0.42419445514678955, 0.69892817735672, 0.4243294894695282, 0.38824015855789185, -0.6486010551452637, 0.218779057264328, -0.05507359281182289, 0.48839765787124634, -0.05422026664018631, 0.11684799194335938, 0.4988963007926941, -0.7011710405349731, 0.41916424036026, 0.02142218127846718, -0.24486273527145386, 0.41113242506980896, -0.253315269947052, 0.47106751799583435, 0.26746368408203125, -0.12665821611881256, 0.023291658610105515, 0.3277764618396759, 0.1961819976568222, 0.03222135454416275, -0.2480887770652771]"
7,7,"[-0.26352912187576294, -0.6784414052963257, -0.4883175790309906, -0.26516300439834595, 0.4018087089061737, 0.4414050579071045, 0.11019519716501236, 0.0430980920791626, 1.2444825172424316, -0.27141380310058594, 0.7615651488304138, -0.9809970259666443, -0.37358689308166504, -0.5613480806350708, 0.34206581115722656, -0.7191237211227417, -0.1097312942147255, 0.222468763589859, 0.2821537256240845, -0.607215404510498, 0.46747681498527527, 0.5662640929222107, -0.06508968770503998, 0.9035195112228394, -0.6074461936950684, -0.19873639941215515, -0.6381962299346924, 0.8994411826133728, 0.14914900064468384, -0.5618975162506104, 1.1117368936538696, 1.1473311185836792, -0.5722089409828186, -0.3871332108974457, 0.9680424928665161, -0.2965773642063141, 0.37701016664505005, 0.5717030763626099, -0.3874741494655609, -0.9939008355140686, 0.6476393342018127, 1.1770567893981934, 0.26481789350509644, -0.8297061324119568, 0.6049374341964722, -0.4625170826911926, 0.4941801428794861, -0.685390830039978, -0.7877301573753357, 0.5305682420730591, 0.4512806534767151, 0.30069226026535034, -0.10148540884256363, 0.1129121482372284, 0.721493661403656, 0.7969479560852051, 0.7032551169395447, 0.26337555050849915, 0.25576677918434143, -0.5168223977088928, -0.5875647664070129, -0.2205398976802826, -0.4231438636779785, 0.5837122201919556]"
8,8,"[-0.30355632305145264, -0.18207725882530212, -0.26667940616607666, -0.5739766955375671, -0.08627605438232422, -0.21490967273712158, 0.49790897965431213, 0.09342041611671448, -0.47406694293022156, 0.3161100149154663, -0.5194123983383179, -0.06107041984796524, -0.07441551983356476, -0.1487998068332672, -0.11332543939352036, -0.20495952665805817, 0.12992313504219055, -0.66060471534729, -0.0835249125957489, -0.13805004954338074, -0.14084415137767792, 0.5434691309928894, -0.24794019758701324, 0.29526394605636597, -0.545423686504364, 0.6075125932693481, 0.2828153967857361, -0.2681380808353424, -0.574372410774231, 0.5888510346412659, 0.08070267736911774, 0.14722013473510742, -0.49041375517845154, 0.1084776297211647, 0.8624807596206665, 0.30476751923561096, 0.11561994254589081, -0.7465289831161499, -0.15849554538726807, -0.33422040939331055, 0.35093703866004944, -0.18305034935474396, -0.0179128497838974, 0.1606050282716751, -0.4072267413139343, -0.2931109070777893, -0.045682501047849655, 0.20459653437137604, 0.24344076216220856, -0.06430621445178986, 0.5172344446182251, 0.4558333456516266, -0.5528647899627686, -0.30898308753967285, 0.1378822773694992, 0.3055073022842407, -0.11781683564186096, 0.25086861848831177, -0.5670141577720642, -0.17941774427890778, -0.1191892996430397, 0.35307955741882324, -0.04497744143009186, -0.49969279766082764]"
9,9,"[0.44497641921043396, -0.39686867594718933, -0.797527015209198, 0.15639840066432953, 0.4077167510986328, 0.8460931181907654, 0.5216861963272095, -0.39445680379867554, 1.2343670129776, -0.5425131320953369, 0.35376980900764465, -0.9092015027999878, -0.9204627275466919, -0.4660714566707611, -0.3102352023124695, -0.1338711977005005, -0.696357011795044, 1.0805202722549438, -0.5216949582099915, -0.039764150977134705, 1.0735098123550415, 0.4025713801383972, 0.503982663154602, 0.5244961977005005, -0.020002290606498718, -0.2520087957382202, -0.8148233890533447, 1.2667595148086548, 0.5888307690620422, -0.19879883527755737, 0.3612038493156433, 0.6216984391212463, -0.3258998394012451, 0.025298424065113068, 0.641272783279419, -0.4473879933357239, -0.6438345313072205, 0.6365375518798828, 0.5923399925231934, -0.014444373548030853, -0.34287261962890625, 0.7701908946037292, 0.10529746115207672, -0.3931999206542969, -0.7500632405281067, -0.8962752223014832, 0.7165559530258179, -0.917097806930542, 0.3333054482936859, -0.454668253660202, 0.3315488398075104, -0.4404293894767761, -0.037090182304382324, 0.4219987988471985, 0.05666474997997284, 0.1583252251148224, -0.6093282699584961, -0.6449263095855713, 0.027111485600471497, 0.10236954689025879, 0.3907303214073181, -0.25977373123168945, 0.6553928256034851, 0.6503207683563232]"
